City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,okha,53.5739,142.9478,-16.98,90,100,10.38,RU,1674678404
176,marrakesh,31.6315,-8.0083,12.04,43,40,3.6,MA,1674678404
177,tiksi,71.6872,128.8694,-36.93,97,100,2.02,RU,1674678405
178,gryfino,53.2524,14.4883,0.31,84,100,2.34,PL,1674678406
179,salalah,17.0151,54.0924,24.05,64,75,4.63,OM,1674678406
180,deputatskiy,69.3,139.9,-38.56,98,98,0.95,RU,1674678407
181,iqaluit,63.7506,-68.5145,-31.15,69,20,1.54,CA,1674678407
182,zaterechnyy,44.7931,45.2097,-3.24,58,0,3.22,RU,1674678408
183,bubaque,11.2833,-15.8333,24.07,81,47,8.83,GW,1674678408
184,olafsvik,64.8945,-23.7142,4.37,84,100,9.25,IS,1674678409
185,omboue,-1.5746,9.2618,26.05,86,9,2.41,GA,1674678409
186,morondava,-20.2833,44.2833,24.62,90,100,20.44,MG,1674678410
187,krasnoshchekovo,51.6708,82.7289,-7.97,79,100,9.11,RU,1674678410
188,daru,-9.0763,143.2092,26.07,88,100,2.23,PG,1674678411
189,vitoria,-20.3194,-40.3378,23.92,97,100,1.54,BR,1674678411
190,tura,25.5198,90.2201,16.29,49,100,1.41,IN,1674678412
191,komsomolskiy,40.4272,71.7189,-6.6,79,100,2.06,UZ,1674678412
192,mandi bahauddin,32.5834,73.4843,9.22,63,0,2.73,PK,1674678413
193,walvis bay,-22.9575,14.5053,16.72,78,17,2.57,NA,1674678413
194,ambilobe,-13.2,49.05,23.26,96,100,0.83,MG,1674678414
195,flin flon,54.7682,-101.865,-12.09,72,75,5.66,CA,1674678414
196,cherdyn,60.403,56.4787,-8.28,92,100,5.64,RU,1674678415
197,mar del plata,-38.0023,-57.5575,22.13,66,0,5.36,AR,1674678415
198,cape coast,5.1053,-1.2466,27.05,85,0,4.71,GH,1674678416
199,atyrau,47.1167,51.8833,-10.99,79,0,2.0,KZ,1674678416
200,pauini,-7.7136,-66.9764,26.98,88,89,1.63,BR,1674678348
201,naryan-mar,67.6713,53.087,-5.75,95,100,5.16,RU,1674678417
202,kitimat,54.0524,-128.6534,6.21,28,100,0.89,CA,1674678418
203,votkinsk,57.0486,53.9872,-12.21,98,100,3.65,RU,1674678418
204,san cristobal,7.7669,-72.225,26.1,36,96,3.21,VE,1674678169
205,thunder bay,48.4001,-89.3168,-9.01,73,100,5.14,CA,1674678405
206,kaeo,-35.1,173.7833,19.91,76,86,6.29,NZ,1674678419
207,manavalakurichi,8.1333,77.3,23.26,76,52,5.0,IN,1674678420
208,santa ines,-3.6667,-45.38,25.33,93,99,2.29,BR,1674678420
209,conde,-7.2597,-34.9075,27.7,65,20,4.63,BR,1674678421
210,broome,42.2506,-75.833,0.39,87,100,10.29,US,1674678421
211,bambous virieux,-20.3428,57.7575,24.01,94,75,1.54,MU,1674678422
212,mucurici,-18.0933,-40.5158,24.81,90,100,2.68,BR,1674678169
213,mackay,-21.15,149.2,23.71,81,61,2.5,AU,1674678424
214,cidreira,-30.1811,-50.2056,26.53,79,9,5.45,BR,1674678424
215,berbera,10.4396,45.0143,24.19,73,46,4.09,SO,1674678425
216,katima mulilo,-17.5,24.2667,20.15,68,96,3.7,NA,1674678427
217,quirinopolis,-18.4483,-50.4517,26.29,78,26,3.43,BR,1674678427
218,magadan,59.5667,150.8,-15.92,76,100,5.15,RU,1674678225
219,kahului,20.8947,-156.47,26.01,65,20,1.54,US,1674678190
220,soverato,38.685,16.5499,8.98,86,98,2.21,IT,1674678433
221,nikel,69.4128,30.222,-4.9,95,50,4.17,RU,1674678434
222,codrington,-38.2667,141.9667,13.71,75,4,3.81,AU,1674678435
223,cairns,-16.9167,145.7667,25.04,94,75,3.09,AU,1674678436
224,bengkulu,-3.8004,102.2655,24.05,87,100,2.35,ID,1674678437
225,airai,-8.9266,125.4092,15.17,91,97,1.35,TL,1674678439
226,chernyshevskiy,63.0128,112.4714,-46.66,100,96,0.39,RU,1674678440
227,batagay-alyta,67.8006,130.4114,-37.52,91,100,1.16,RU,1674678442
228,wajima,37.4,136.9,3.23,70,100,10.94,JP,1674678443
229,saint-pierre,-21.3393,55.4781,25.82,83,100,0.0,RE,1674678444
230,saint-joseph,-21.3667,55.6167,25.21,90,100,4.09,RE,1674678445
231,doha,25.2867,51.5333,19.94,75,20,6.17,QA,1674678447
232,jiazi,22.8779,116.067,12.11,69,100,5.46,CN,1674678448
233,bull savanna,17.8868,-77.5902,26.69,66,69,8.08,JM,1674678449
234,lakes entrance,-37.8811,147.981,17.31,84,99,3.59,AU,1674678450
235,makakilo city,21.3469,-158.0858,25.18,71,0,4.12,US,1674678455
236,santander,43.4647,-3.8044,10.26,78,75,5.81,ES,1674678456
237,narsaq,60.9167,-46.05,2.12,97,100,4.69,GL,1674678456
238,lisala,2.15,21.5167,26.09,40,80,1.1,CD,1674678457
239,antofagasta,-23.65,-70.4,22.6,72,10,3.96,CL,1674678363
240,campo largo,-25.4586,-49.5283,28.07,40,4,2.11,BR,1674678043
241,amapa,1.0,-52.0,24.26,95,99,1.74,BR,1674678458
242,svetlyy,54.675,20.1347,-1.97,86,99,3.83,RU,1674678458
243,lujiang,31.2581,117.2817,-1.13,55,3,1.29,CN,1674678459
244,labuhan,-6.8844,112.2051,24.92,86,100,4.98,ID,1674678459
245,santiago del estero,-27.7951,-64.2615,25.85,77,95,4.44,AR,1674678460
246,port lincoln,-34.7333,135.8667,16.52,86,53,4.32,AU,1674678460
247,loukhi,66.0764,33.0381,0.26,98,100,3.68,RU,1674678461
248,bakchar,57.0186,82.0711,-8.27,90,100,5.27,RU,1674678461
249,roebourne,-20.7833,117.1333,29.6,68,17,5.53,AU,1674678462
250,half moon bay,37.4636,-122.4286,18.39,41,0,2.57,US,1674678462
251,newtownards,54.5924,-5.6909,7.97,78,100,3.09,GB,1674678463
252,flinders,-34.5833,150.8552,20.66,90,1,1.79,AU,1674678463
253,caxito,-8.5785,13.6643,25.73,85,98,0.38,AO,1674678464
254,camacha,33.0833,-16.3333,14.68,55,40,6.69,PT,1674678464
255,kimbe,-5.5502,150.1429,23.49,95,100,1.15,PG,1674678464
256,malakal,9.5334,31.6605,29.21,23,15,2.9,SS,1674678465
257,jequitinhonha,-16.4339,-41.0033,27.42,86,97,0.88,BR,1674678465
258,aranos,-24.1333,19.1167,27.45,41,65,7.24,NA,1674678466
259,uyuni,-20.4597,-66.825,13.8,50,94,2.79,BO,1674678467
260,paamiut,61.994,-49.6678,-0.9,96,100,7.18,GL,1674678467
261,dwarka,22.2394,68.9678,18.09,37,6,5.07,IN,1674678468
262,rudbar,30.15,62.6,2.65,41,0,1.02,AF,1674678468
263,pemba,-12.974,40.5178,25.25,91,100,5.18,MZ,1674678469
264,namatanai,-3.6667,152.4333,26.19,79,100,2.73,PG,1674678285
265,jaguariuna,-22.7056,-46.9858,31.43,61,0,3.13,BR,1674678333
266,laguna,38.421,-121.4238,17.07,55,0,4.63,US,1674678470
267,zhigansk,66.7697,123.3711,-40.8,94,100,2.74,RU,1674678471
